2024-09-07 19:34:49,444 - INFO - Starting Bayesian optimization for q_learning agent
2024-09-07 19:34:49,551 - INFO - Trial 0: Parameters: {'learning_rate': 0.0052854836032937115, 'discount_factor': 0.9777887761357417, 'epsilon': 0.39824700471829755, 'epsilon_decay': 0.9959731242941792}, Performance: 0.0
2024-09-07 19:34:49,670 - INFO - Trial 1: Parameters: {'learning_rate': 0.002916399082431481, 'discount_factor': 0.9233018191451777, 'epsilon': 0.18741432512258355, 'epsilon_decay': 0.9951646171929879}, Performance: 0.0
2024-09-07 19:34:49,775 - INFO - Trial 2: Parameters: {'learning_rate': 0.0020365682563128254, 'discount_factor': 0.9660272306968113, 'epsilon': 0.21517601393224917, 'epsilon_decay': 0.9988802382225535}, Performance: 0.0
2024-09-07 19:34:49,879 - INFO - Trial 3: Parameters: {'learning_rate': 0.0075112045640765785, 'discount_factor': 0.9307787363216217, 'epsilon': 0.25816938786094173, 'epsilon_decay': 0.9942241627160706}, Performance: 0.0
2024-09-07 19:34:49,988 - INFO - Trial 4: Parameters: {'learning_rate': 0.0017910071580154283, 'discount_factor': 0.9020956804111289, 'epsilon': 0.36114243770414445, 'epsilon_decay': 0.990355820529206}, Performance: 0.0
2024-09-07 19:34:49,989 - INFO - Bayesian optimization completed. Best parameters: {'learning_rate': 0.0052854836032937115, 'discount_factor': 0.9777887761357417, 'epsilon': 0.39824700471829755, 'epsilon_decay': 0.9959731242941792}, Best performance: 0.0
2024-09-07 19:34:49,989 - INFO - Starting grid search for q_learning agent
2024-09-07 19:34:50,120 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:50,227 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:50,341 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:50,454 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:50,561 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:50,665 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:50,758 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:50,868 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:50,984 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:51,104 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:51,200 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:51,301 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:51,415 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:51,522 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:51,648 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-07 19:34:51,748 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-07 19:34:51,748 - INFO - Grid search completed. Best parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Best performance: 0.0
2024-09-07 19:34:51,749 - INFO - Starting random search for q_learning agent
