2024-09-06 00:15:03,769 - INFO - Starting Bayesian optimization for q_learning agent
2024-09-06 00:15:03,836 - INFO - Trial 0: Parameters: {'learning_rate': 0.020023010688718403, 'discount_factor': 0.9793446188777337, 'epsilon': 0.30408481378646013, 'epsilon_decay': 0.995410920089823}, Performance: 0.0
2024-09-06 00:15:03,905 - INFO - Trial 1: Parameters: {'learning_rate': 0.004284515792621508, 'discount_factor': 0.9860925226939945, 'epsilon': 0.188485037256933, 'epsilon_decay': 0.9951334667101472}, Performance: 0.0
2024-09-06 00:15:03,975 - INFO - Trial 2: Parameters: {'learning_rate': 0.004399393740365787, 'discount_factor': 0.9745976654653993, 'epsilon': 0.13850849605191065, 'epsilon_decay': 0.9929615320717694}, Performance: 0.0
2024-09-06 00:15:04,032 - INFO - Trial 3: Parameters: {'learning_rate': 0.003477918596264174, 'discount_factor': 0.9866003473789051, 'epsilon': 0.3643971024696777, 'epsilon_decay': 0.991999537738972}, Performance: 0.0
2024-09-06 00:15:04,091 - INFO - Trial 4: Parameters: {'learning_rate': 0.0366062446643176, 'discount_factor': 0.952844732047575, 'epsilon': 0.42080643031392706, 'epsilon_decay': 0.9965312264280054}, Performance: 0.0
2024-09-06 00:15:04,092 - INFO - Bayesian optimization completed. Best parameters: {'learning_rate': 0.020023010688718403, 'discount_factor': 0.9793446188777337, 'epsilon': 0.30408481378646013, 'epsilon_decay': 0.995410920089823}, Best performance: 0.0
2024-09-06 00:15:04,092 - INFO - Starting grid search for q_learning agent
2024-09-06 00:15:04,157 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,216 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:04,275 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,338 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:04,395 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,459 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
